Artist,Track,Track ID,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
Michael Franti and Spearhead,People In Tha Middle,"1SZThDcsBdExLGgsGF4jwj
",0.040274862847200804,0.026115106922398587,0.018587402317654055,0.1111111111111111,0.043263888888888886,0.043263888888888886,0.03818204365079365,0.08333333333333334,0.375,0.05979938271604938
Dojo Cuts,I Can Give,"5DXq9lQxg6tF88XVzwOKGA
",,,,,,,,,,
The Young Punx Cagedbaby D,Loving You Baby,"1Y7u4vDBYUqGClwy917MUm
",,,,,,,,,,
Mage,All The Time,"0t0zDIeQykxGQUV5UHDgNA
",,,,,,,,,,
Bird of Prey Iguana,Xenomorphic,"6riNnIsy4o3iIdIADdmcqO
",,,,,,,,,,
Altruism,Gratitude,"0yXij8RLCsp2Ir3Wkv9bCS
",,,,,,,,,,
Quincy Jones,Let The Good Times Roll,"5s9wI2Jijxp5sDyL9ltKmR
",0.028367196998003823,0.21833333333333332,0.07083333333333333,0.009763650127829803,0.14444444444444446,0.07777777777777778,0.013127418529090568,0.09166666666666666,0.014261432063949423,0.03967708709114959
Madlib,Slims Return,"2P5mABk27DkOT8Gi2NbTpO
",0.375,0.2,0.2,0.25,0.2,0.2,0.25,0,0.2,0.375
William DeVaughn,Be Thankful for What You Got,"7pN8GMLw3prWFn5nvJRM6O
",,,,,,,,,,
Kolsch Troels Abrahamsen,All that matters,"5hGBJKU8aJaZPVSV7NxoTp
",,,,,,,,,,
Ginuwine,Pony,"6mz1fBdKATx6qP4oP1I65G
",0.03591424232738855,0.1125,0.26666666666666666,0,0.2,0.26666666666666666,0.045881593784516235,0.20555555555555557,1.0,0.5555555555555555
Entheogenic,Ground Luminosity,"5HOyaBTI0ypXjyowSRKeHj
",,,,,,,,,,
Zen Mechanics,Modified,"1GIeXkjmmoYVFoQpbV6sXD
",,,,,,,,,,
Count Basie,A Hard Days Night,"2PMZRVTJlDj2DokOxYnmnY
",0.1507473544973545,0.1,0.07777777777777778,0.07777777777777778,0.1,0.09166666666666667,0.07777777777777778,0.09166666666666667,0.07777777777777778,0.07777777777777778
Junior Kimbrough,Sad Days Lonely Nights,"1NaRFCn2s3Rb75ghDIfBuR
",0.3333333333333333,0.18333333333333335,0.2,0.3333333333333333,0.2,0.18333333333333335,0.3333333333333333,0.2,0,0
Infected Mushroom,Devil,"61HCD3QERj7kxp4qHSzGiF
",0.6666666666666666,0,0,0,0,0,0,0,0,1.0
Pernett,Hoy Es Manana,"2Ds6mEvudpm8tlBY8s6pPl
",,,,,,,,,,
Dinah Washington,Mad About The Boy,"15VvVzNAne1ndguY5Rh8ji
",0.06416666666666666,0.025576185517488675,0.02389458406819518,0.08541666666666667,0.03212494559884671,0.027142305996472667,0.06416666666666666,0.027496693121693123,0.08541666666666667,0.21666666666666667
Public Enemy,Give It Up,"2uWoy80sBB8a59nh0cDSe1
",0.016343750691765038,0.006677060342971397,0.01115849594005972,0.03644708076131688,0.015095594268771353,0.007941277529077185,0.0519212962962963,0.013089834634198471,0.0798611111111111,0.02469245422802384
Marijata,No Condition Is Permanent,"4RY7JyzWaluUWKg3zPKOdk
",0,0,0,0,0,0,0,0,0,0
Living Room,Surfin On a Rainbow,"5iQ6QNbeoIBSUuxLvyZL4Q
",,,,,,,,,,
Diana Ross,Its My House,"3qQWGXvNwIOrskKOK9u9A0
",0.0361126476027249,0.0925,0.1,0.11666666666666667,0.1,0.058750000000000004,0.050573056958473625,0.07097222222222221,0.15000000000000002,0.13125
Ofege,Nobody Falls,"2p4cHvREkcBQT7IzqwliHi
",,,,,,,,,,
Khruangbin,Two Fish and an Elephant,"1Mxx5BNUnUmVESTaPgblt2
",,,,,,,,,,
Bud Powell,A Night In Tunisia,"7mwfuAhF0DclPHLhKEyYdl
",,,,,,,,,,
Glenn Miller,On a Little Street in Singapore,"7bVU2AF4JsrXzPCvrxXw7X
",0.2833333333333333,0.2,0.2,0.2,0.2,0.2,0.35,0.2,0.2,0.35
Lemon Tree,A Monkey,"5DoHizYw9jyvyChGs04VIB
",,,,,,,,,,
Copywrite,Trouble,"56SqXxIisOSzSrJXuLBMY8
",,,,,,,,,,
Amy Winehouse,Back To Black,"3RCmcAmUn9YRnNNDXX4sgk
",0.06370379556143445,0.07333829365079365,0,0.1734126984126984,0,0,0.2013888888888889,0.07333829365079365,0,0.10671296296296295
Onom Agemo And The Disco Jumpers,Liquid Love,"1uEZdfC78Cg5lxagSv9Dde
",,,,,,,,,,
Rex Orange County,Sycamore Girl,"6pD5lJP9upILAGe9drWqXU
",0.032527933935920045,0.06736937830687831,0.20833333333333331,0.06444444444444444,0.12361111111111112,0.18055555555555555,0.040608557466196356,0.09652777777777777,0.04944444444444444,0.0469849537037037
Fatboy Slim,Build It Up Tear It Down,"7c3gg0yaitZpzx3EbuD2ch
",0,0,0,0,0,0,0,0,0,0
Cannonball Adderley,Love For Sale,"16Po3i2Kcsy74jz0lp6fdJ
",,,,,,,,,,
Blackbyrds,Do It Fluid,"31DcoNNQ5OR3yh0BVc13fA
",,,,,,,,,,
